category,nfe,mean_wer,median_wer,mean_rtf,mean_total_time_sec,n_samples
abbreviations,1,0.15214285714285714,0.1,0.07452039469860923,0.23118840000000002,5
abbreviations,2,0.15214285714285714,0.1,0.07793286355492626,0.24075799999999997,5
abbreviations,4,0.15214285714285714,0.1,0.09985809834550873,0.3034574,5
abbreviations,8,0.15214285714285714,0.1,0.10759793997570025,0.3261206,5
abbreviations,16,0.15214285714285714,0.1,0.12987951266501666,0.39929580000000003,5
long,1,0.0,0.0,0.039601768295657036,0.384424,5
long,2,0.0,0.0,0.04043093810469403,0.3938822,5
long,4,0.0,0.0,0.043027781151385426,0.41792239999999997,5
long,8,0.0,0.0,0.04840626601881869,0.4707992,5
long,16,0.0,0.0,0.05902867440657711,0.574176,5
numbers,1,0.13666666666666666,0.1,0.05763975664797778,0.262812,5
numbers,2,0.13666666666666666,0.1,0.06143007962705551,0.2809868,5
numbers,4,0.13666666666666666,0.1,0.06879935512583249,0.30707439999999997,5
numbers,8,0.13666666666666666,0.1,0.07679551204197185,0.3479828,5
numbers,16,0.13666666666666666,0.1,0.10369619085901113,0.46073519999999996,5
prosody,1,0.0,0.0,0.12381604618763395,0.1992462,5
prosody,2,0.0,0.0,0.13927514859524182,0.2217702,5
prosody,4,0.0,0.0,0.1605703633861048,0.2633478,5
prosody,8,0.0,0.0,0.17784329321777834,0.28970039999999997,5
prosody,16,0.0,0.0,0.23240290849520986,0.36785480000000004,5
rare_words,1,0.13333333333333333,0.0,0.06517431268177055,0.246666,5
rare_words,2,0.16666666666666666,0.0,0.06998580874318669,0.265756,5
rare_words,4,0.16666666666666666,0.0,0.07476035425216357,0.2836794,5
rare_words,8,0.16666666666666666,0.0,0.08856496703223367,0.3359128,5
rare_words,16,0.16666666666666666,0.0,0.11163138826199451,0.4218676,5
repetition,1,0.0,0.0,0.10039655427689669,0.2104318,5
repetition,2,0.0,0.0,0.11063047132241095,0.23574299999999998,5
repetition,4,0.065,0.0,0.1183362005127478,0.25067,5
repetition,8,0.265,0.0,0.1410795931341356,0.3016162,5
repetition,16,0.025,0.0,0.19020589916043,0.398577,5
short,1,0.0,0.0,0.16502182178524913,0.205548,5
short,2,0.0,0.0,0.156756109905729,0.193778,5
short,4,0.0,0.0,0.1892806725940822,0.23612099999999997,5
short,8,0.0,0.0,0.20987924885502235,0.2590274,5
short,16,0.0,0.0,0.28954626944758216,0.35871240000000004,5
tongue_twister,1,0.2583333333333333,0.3333333333333333,0.07928762823597255,0.22134700000000002,5
tongue_twister,2,0.19166666666666665,0.125,0.09654250412289009,0.265435,5
tongue_twister,4,0.19166666666666665,0.125,0.09149427475392097,0.25467500000000004,5
tongue_twister,8,0.14166666666666666,0.125,0.1100787541282748,0.30239380000000005,5
tongue_twister,16,0.19166666666666665,0.125,0.14372215153902132,0.401239,5
