category,mean_wer,median_wer,mean_rtf,n_samples
abbreviations,0.15214285714285714,0.1,0.09795776184795223,25
long,0.0,0.0,0.046099085595426456,25
numbers,0.13666666666666666,0.1,0.07367217886036975,25
prosody,0.0,0.0,0.16678155197639377,25
rare_words,0.16,0.0,0.0820233661942698,25
repetition,0.071,0.0,0.1321297436813242,25
short,0.0,0.0,0.20209682451753294,25
tongue_twister,0.195,0.125,0.10422506255601593,25
